cosine similarity,line1,sentence1,line2,sentence2
1.0,460,ถ้าเราไม่ลอง เราก็จะไม่รู้ว่าผลลัพธ์จะเป็นอย่างไร,871,ถ้าเราไม่ลอง เราก็จะไม่รู้ว่าผลลัพธ์จะเป็นอย่างไร
1.0,810,ฉันตั้งใจว่าจะออกกำลังกายทุกวันเพื่อสุขภาพที่ดีขึ้น,1596,ฉันตั้งใจว่าจะออกกำลังกายทุกวันเพื่อสุขภาพที่ดีขึ้น
1.0,850,ฉันชอบฟังเพลงขณะขับรถ เพราะมันทำให้รู้สึกผ่อนคลาย,1018,ฉันชอบฟังเพลงขณะขับรถ เพราะมันทำให้รู้สึกผ่อนคลาย
1.0,306,ถ้าเราช่วยกันรักษาสิ่งแวดล้อม โลกของเราก็จะน่าอยู่ขึ้น,636,ถ้าเราช่วยกันรักษาสิ่งแวดล้อม โลกของเราก็จะน่าอยู่ขึ้น
1.0,431,ถ้าเราช่วยกันทำงานนี้ เราจะเสร็จเร็วขึ้น,1602,ถ้าเราช่วยกันทำงานนี้ เราจะเสร็จเร็วขึ้น
1.0,709,การสื่อสารที่ดีเป็นกุญแจสำคัญในการทำงานเป็นทีมอย่างมีประสิทธิภาพ,1287,การสื่อสารที่ดีเป็นกุญแจสำคัญในการทำงานเป็นทีมอย่างมีประสิทธิภาพ
1.0,832,คุณคิดว่าอนาคตของเทคโนโลยีจะเป็นอย่างไร,2026,คุณคิดว่าอนาคตของเทคโนโลยีจะเป็นอย่างไร
1.0,1153,ฉันรู้สึกตื่นเต้นที่จะได้เริ่มงานใหม่ในสัปดาห์หน้า,1709,ฉันรู้สึกตื่นเต้นที่จะได้เริ่มงานใหม่ในสัปดาห์หน้า
1.0,1153,ฉันรู้สึกตื่นเต้นที่จะได้เริ่มงานใหม่ในสัปดาห์หน้า,1977,ฉันรู้สึกตื่นเต้นที่จะได้เริ่มงานใหม่ในสัปดาห์หน้า
1.0,1709,ฉันรู้สึกตื่นเต้นที่จะได้เริ่มงานใหม่ในสัปดาห์หน้า,1977,ฉันรู้สึกตื่นเต้นที่จะได้เริ่มงานใหม่ในสัปดาห์หน้า
1.0,36,ฉันหวังว่าเราจะได้มีโอกาสทำงานร่วมกันอีกในอนาคต,1741,ฉันหวังว่าเราจะมีโอกาสได้ทำงานร่วมกันอีกในอนาคต
0.999,869,ฉันกำลังมองหาของขวัญที่พิเศษสำหรับวันเกิดของแม่,1666,ฉันกำลังมองหาของขวัญพิเศษสำหรับวันเกิดของแม่
0.999,564,ถ้าคุณมีเวลาว่างสุดสัปดาห์นี้ เราไปเดินเล่นที่สวนสาธารณะกันไหม,1217,ถ้าคุณมีเวลาว่างในสุดสัปดาห์นี้ เราไปเดินเล่นที่สวนสาธารณะกันไหม
0.999,159,เมื่อเราเรียนรู้จากความผิดพลาด เราก็จะเติบโตและแข็งแกร่งขึ้น,359,ถ้าเราเรียนรู้จากความผิดพลาด เราก็จะเติบโตและแข็งแกร่งขึ้น
0.999,850,ฉันชอบฟังเพลงขณะขับรถ เพราะมันทำให้รู้สึกผ่อนคลาย,1554,ฉันชอบฟังเพลงขณะขับรถ เพราะมันทำให้ผ่อนคลาย
0.999,1018,ฉันชอบฟังเพลงขณะขับรถ เพราะมันทำให้รู้สึกผ่อนคลาย,1554,ฉันชอบฟังเพลงขณะขับรถ เพราะมันทำให้ผ่อนคลาย
0.999,229,คุณสนใจที่จะเข้าร่วมกิจกรรมอาสาสมัครกับเราหรือไม่?,484,คุณสนใจเข้าร่วมกิจกรรมอาสาสมัครกับเราหรือไม่?
0.998,420,เมื่อวานนี้ฉันเจอเพื่อนเก่าที่ไม่ได้พบกันมานาน,764,เมื่อวานฉันเจอเพื่อนเก่าที่ไม่ได้พบกันมานานมาก
0.998,420,เมื่อวานนี้ฉันเจอเพื่อนเก่าที่ไม่ได้พบกันมานาน,1769,เมื่อวานนี้ฉันพบเพื่อนเก่าที่ไม่ได้เจอกันมานานมากแล้ว
0.998,1153,ฉันรู้สึกตื่นเต้นที่จะได้เริ่มงานใหม่ในสัปดาห์หน้า,1583,ฉันรู้สึกตื่นเต้นมากที่จะได้เริ่มงานใหม่ในสัปดาห์หน้า
0.998,1583,ฉันรู้สึกตื่นเต้นมากที่จะได้เริ่มงานใหม่ในสัปดาห์หน้า,1709,ฉันรู้สึกตื่นเต้นที่จะได้เริ่มงานใหม่ในสัปดาห์หน้า
0.998,1583,ฉันรู้สึกตื่นเต้นมากที่จะได้เริ่มงานใหม่ในสัปดาห์หน้า,1977,ฉันรู้สึกตื่นเต้นที่จะได้เริ่มงานใหม่ในสัปดาห์หน้า
0.998,764,เมื่อวานฉันเจอเพื่อนเก่าที่ไม่ได้พบกันมานานมาก,1769,เมื่อวานนี้ฉันพบเพื่อนเก่าที่ไม่ได้เจอกันมานานมากแล้ว
0.998,399,ฉันเคยไปญี่ปุ่นเมื่อปีที่แล้วและประทับใจในวัฒนธรรมของเขา,1748,ฉันเคยไปญี่ปุ่นเมื่อปีที่แล้วและประทับใจในวัฒนธรรมของเขามาก
0.998,1107,เมื่อวานนี้ฉันได้พบเพื่อนเก่าที่ไม่ได้เจอกันนานมาก,1769,เมื่อวานนี้ฉันพบเพื่อนเก่าที่ไม่ได้เจอกันมานานมากแล้ว
0.998,115,การออกกำลังกายเป็นประจำช่วยให้สุขภาพแข็งแรงและจิตใจสดใส,296,การออกกำลังกายเป็นประจำจะช่วยให้สุขภาพแข็งแรงและจิตใจสดใส
0.998,584,ถ้าเราออกเดินทางตอนนี้ เราจะถึงที่หมายก่อนพระอาทิตย์ตกดิน,1014,ถ้าเราออกเดินทางตอนนี้ เราจะไปถึงจุดหมายก่อนพระอาทิตย์ตกดิน
0.998,685,การอ่านหนังสือก่อนนอนช่วยให้ฉันนอนหลับสบายขึ้น,1568,การอ่านหนังสือก่อนนอนช่วยให้ฉันหลับสบายขึ้น
0.997,404,ฉันกำลังหัดเล่นกีตาร์ แต่ยังไม่เก่งเท่าไหร่,1657,ฉันกำลังหัดเล่นกีตาร์ แต่ยังไม่ค่อยเก่งเท่าไหร่
0.997,42,การเรียนรู้จากความผิดพลาดเป็นสิ่งสำคัญ ที่จะทำให้เราเติบโตและพัฒนา,534,การเรียนรู้จากความผิดพลาดเป็นสิ่งสำคัญที่ช่วยให้เราเติบโตและพัฒนา
0.997,680,เราควรรักษาสิ่งแวดล้อม เพื่ออนาคตของลูกหลานของเรา,807,เราควรจะรักษาสิ่งแวดล้อมเพื่ออนาคตของลูกหลาน
0.997,765,ฉันอยากเรียนรู้วิธีการถ่ายภาพให้สวยงามมากขึ้น,1601,ฉันอยากเรียนรู้วิธีการถ่ายภาพให้สวยงามกว่าเดิม
0.997,884,เขากำลังวางแผนที่จะเรียนต่อในระดับปริญญาโทที่ต่างประเทศ,1155,เขากำลังวางแผนที่จะเรียนต่อปริญญาโทในต่างประเทศ
0.997,420,เมื่อวานนี้ฉันเจอเพื่อนเก่าที่ไม่ได้พบกันมานาน,1107,เมื่อวานนี้ฉันได้พบเพื่อนเก่าที่ไม่ได้เจอกันนานมาก
0.997,764,เมื่อวานฉันเจอเพื่อนเก่าที่ไม่ได้พบกันมานานมาก,1107,เมื่อวานนี้ฉันได้พบเพื่อนเก่าที่ไม่ได้เจอกันนานมาก
0.997,450,ถ้าอากาศดีสุดสัปดาห์นี้ เราไปปิกนิกกันไหม?,1672,ถ้าอากาศดีสุดสัปดาห์นี้ เราไปปิกนิกกันไหม
0.997,1130,ผมชอบฟังเพลงขณะขับรถเพราะทำให้ผ่อนคลาย,1554,ฉันชอบฟังเพลงขณะขับรถ เพราะมันทำให้ผ่อนคลาย
0.997,572,ฉันต้องการซื้อของขวัญให้แม่ แต่ยังไม่แน่ใจว่าจะเลือกอะไรดี,758,ฉันต้องการซื้อของขวัญให้แม่แต่ยังไม่รู้จะเลือกอะไรดี
0.997,277,ฉันชอบอ่านหนังสือก่อนนอน เพราะทำให้ผ่อนคลายและหลับสบายขึ้น,563,ฉันชอบอ่านหนังสือก่อนนอน เพราะมันช่วยให้ฉันผ่อนคลายและหลับสบายขึ้น
0.997,32,ฉันกำลังมองหาของขวัญพิเศษสำหรับวันเกิดของแม่ คุณมีอะไรแนะนำไหม,1233,ฉันกำลังมองหาของขวัญพิเศษสำหรับวันเกิดของแม่ คุณมีคำแนะนำไหม
0.997,704,เราควรเคารพความคิดเห็นของผู้อื่น แม้ว่าเราจะไม่เห็นด้วยก็ตาม,1992,เราควรเคารพความคิดเห็นของผู้อื่นแม้ว่าเราจะไม่เห็นด้วย
0.996,78,ถ้าเรารู้จักการจัดลำดับความสำคัญ เราก็จะบริหารเวลาได้อย่างมีประสิทธิภาพ,560,ถ้าเรารู้จักการจัดลำดับความสำคัญ เราก็จะสามารถบริหารเวลาได้อย่างมีประสิทธิภาพ
0.996,1439,เมื่อวานนี้ฉันไปหาหมอฟัน เพราะปวดฟันมาหลายวันแล้ว,1863,เมื่อวานนี้ฉันจึงไปพบหมอฟันเพราะปวดฟันมาหลายวันแล้ว
0.996,152,การอ่านข่าวทุกวันทำให้เราทันเหตุการณ์และรอบรู้มากขึ้น,346,การอ่านข่าวทุกวันจะช่วยให้เราทันเหตุการณ์และรอบรู้มากขึ้น
0.996,159,เมื่อเราเรียนรู้จากความผิดพลาด เราก็จะเติบโตและแข็งแกร่งขึ้น,918,เมื่อเราเรียนรู้จากความผิดพลาด เราก็จะเติบโตและเข้มแข็งขึ้น
0.995,287,ฉันชอบฟังเพลงเวลาขับรถ เพราะทำให้การเดินทางสนุกสนานขึ้น,1664,ฉันชอบฟังเพลงขณะขับรถ เพราะมันทำให้การเดินทางสนุกขึ้น
