cosine similarity,line1,sentence1,line2,sentence2
1.0,721,ถ้าเราไม่ลอง เราก็จะไม่รู้ว่าผลลัพธ์จะเป็นอย่างไร,1244,ถ้าเราไม่ลอง เราก็จะไม่รู้ว่าผลลัพธ์จะเป็นอย่างไร
1.0,1183,ฉันตั้งใจว่าจะออกกำลังกายทุกวันเพื่อสุขภาพที่ดีขึ้น,1969,ฉันตั้งใจว่าจะออกกำลังกายทุกวันเพื่อสุขภาพที่ดีขึ้น
1.0,1223,ฉันชอบฟังเพลงขณะขับรถ เพราะมันทำให้รู้สึกผ่อนคลาย,1391,ฉันชอบฟังเพลงขณะขับรถ เพราะมันทำให้รู้สึกผ่อนคลาย
1.0,567,ถ้าเราช่วยกันรักษาสิ่งแวดล้อม โลกของเราก็จะน่าอยู่ขึ้น,1009,ถ้าเราช่วยกันรักษาสิ่งแวดล้อม โลกของเราก็จะน่าอยู่ขึ้น
1.0,692,ถ้าเราช่วยกันทำงานนี้ เราจะเสร็จเร็วขึ้น,1975,ถ้าเราช่วยกันทำงานนี้ เราจะเสร็จเร็วขึ้น
1.0,1082,การสื่อสารที่ดีเป็นกุญแจสำคัญในการทำงานเป็นทีมอย่างมีประสิทธิภาพ,1660,การสื่อสารที่ดีเป็นกุญแจสำคัญในการทำงานเป็นทีมอย่างมีประสิทธิภาพ
1.0,1205,คุณคิดว่าอนาคตของเทคโนโลยีจะเป็นอย่างไร,2506,คุณคิดว่าอนาคตของเทคโนโลยีจะเป็นอย่างไร
1.0,1526,ฉันรู้สึกตื่นเต้นที่จะได้เริ่มงานใหม่ในสัปดาห์หน้า,2082,ฉันรู้สึกตื่นเต้นที่จะได้เริ่มงานใหม่ในสัปดาห์หน้า
1.0,1526,ฉันรู้สึกตื่นเต้นที่จะได้เริ่มงานใหม่ในสัปดาห์หน้า,2457,ฉันรู้สึกตื่นเต้นที่จะได้เริ่มงานใหม่ในสัปดาห์หน้า
1.0,2082,ฉันรู้สึกตื่นเต้นที่จะได้เริ่มงานใหม่ในสัปดาห์หน้า,2457,ฉันรู้สึกตื่นเต้นที่จะได้เริ่มงานใหม่ในสัปดาห์หน้า
1.0,36,ฉันหวังว่าเราจะได้มีโอกาสทำงานร่วมกันอีกในอนาคต,2114,ฉันหวังว่าเราจะมีโอกาสได้ทำงานร่วมกันอีกในอนาคต
0.999,1242,ฉันกำลังมองหาของขวัญที่พิเศษสำหรับวันเกิดของแม่,2039,ฉันกำลังมองหาของขวัญพิเศษสำหรับวันเกิดของแม่
0.999,937,ถ้าคุณมีเวลาว่างสุดสัปดาห์นี้ เราไปเดินเล่นที่สวนสาธารณะกันไหม,1590,ถ้าคุณมีเวลาว่างในสุดสัปดาห์นี้ เราไปเดินเล่นที่สวนสาธารณะกันไหม
0.999,310,เมื่อเราเรียนรู้จากความผิดพลาด เราก็จะเติบโตและแข็งแกร่งขึ้น,620,ถ้าเราเรียนรู้จากความผิดพลาด เราก็จะเติบโตและแข็งแกร่งขึ้น
0.999,1223,ฉันชอบฟังเพลงขณะขับรถ เพราะมันทำให้รู้สึกผ่อนคลาย,1927,ฉันชอบฟังเพลงขณะขับรถ เพราะมันทำให้ผ่อนคลาย
0.999,1391,ฉันชอบฟังเพลงขณะขับรถ เพราะมันทำให้รู้สึกผ่อนคลาย,1927,ฉันชอบฟังเพลงขณะขับรถ เพราะมันทำให้ผ่อนคลาย
0.999,490,คุณสนใจที่จะเข้าร่วมกิจกรรมอาสาสมัครกับเราหรือไม่?,745,คุณสนใจเข้าร่วมกิจกรรมอาสาสมัครกับเราหรือไม่?
0.998,681,เมื่อวานนี้ฉันเจอเพื่อนเก่าที่ไม่ได้พบกันมานาน,1137,เมื่อวานฉันเจอเพื่อนเก่าที่ไม่ได้พบกันมานานมาก
0.998,681,เมื่อวานนี้ฉันเจอเพื่อนเก่าที่ไม่ได้พบกันมานาน,2249,เมื่อวานนี้ฉันพบเพื่อนเก่าที่ไม่ได้เจอกันมานานมากแล้ว
0.998,1526,ฉันรู้สึกตื่นเต้นที่จะได้เริ่มงานใหม่ในสัปดาห์หน้า,1956,ฉันรู้สึกตื่นเต้นมากที่จะได้เริ่มงานใหม่ในสัปดาห์หน้า
0.998,1956,ฉันรู้สึกตื่นเต้นมากที่จะได้เริ่มงานใหม่ในสัปดาห์หน้า,2082,ฉันรู้สึกตื่นเต้นที่จะได้เริ่มงานใหม่ในสัปดาห์หน้า
0.998,1956,ฉันรู้สึกตื่นเต้นมากที่จะได้เริ่มงานใหม่ในสัปดาห์หน้า,2457,ฉันรู้สึกตื่นเต้นที่จะได้เริ่มงานใหม่ในสัปดาห์หน้า
0.998,1137,เมื่อวานฉันเจอเพื่อนเก่าที่ไม่ได้พบกันมานานมาก,2249,เมื่อวานนี้ฉันพบเพื่อนเก่าที่ไม่ได้เจอกันมานานมากแล้ว
0.998,660,ฉันเคยไปญี่ปุ่นเมื่อปีที่แล้วและประทับใจในวัฒนธรรมของเขา,2228,ฉันเคยไปญี่ปุ่นเมื่อปีที่แล้วและประทับใจในวัฒนธรรมของเขามาก
0.998,1480,เมื่อวานนี้ฉันได้พบเพื่อนเก่าที่ไม่ได้เจอกันนานมาก,2249,เมื่อวานนี้ฉันพบเพื่อนเก่าที่ไม่ได้เจอกันมานานมากแล้ว
0.998,266,การออกกำลังกายเป็นประจำช่วยให้สุขภาพแข็งแรงและจิตใจสดใส,557,การออกกำลังกายเป็นประจำจะช่วยให้สุขภาพแข็งแรงและจิตใจสดใส
0.998,957,ถ้าเราออกเดินทางตอนนี้ เราจะถึงที่หมายก่อนพระอาทิตย์ตกดิน,1387,ถ้าเราออกเดินทางตอนนี้ เราจะไปถึงจุดหมายก่อนพระอาทิตย์ตกดิน
0.998,1058,การอ่านหนังสือก่อนนอนช่วยให้ฉันนอนหลับสบายขึ้น,1941,การอ่านหนังสือก่อนนอนช่วยให้ฉันหลับสบายขึ้น
0.997,665,ฉันกำลังหัดเล่นกีตาร์ แต่ยังไม่เก่งเท่าไหร่,2030,ฉันกำลังหัดเล่นกีตาร์ แต่ยังไม่ค่อยเก่งเท่าไหร่
0.997,42,การเรียนรู้จากความผิดพลาดเป็นสิ่งสำคัญ ที่จะทำให้เราเติบโตและพัฒนา,907,การเรียนรู้จากความผิดพลาดเป็นสิ่งสำคัญที่ช่วยให้เราเติบโตและพัฒนา
0.997,1053,เราควรรักษาสิ่งแวดล้อม เพื่ออนาคตของลูกหลานของเรา,1180,เราควรจะรักษาสิ่งแวดล้อมเพื่ออนาคตของลูกหลาน
0.997,1138,ฉันอยากเรียนรู้วิธีการถ่ายภาพให้สวยงามมากขึ้น,1974,ฉันอยากเรียนรู้วิธีการถ่ายภาพให้สวยงามกว่าเดิม
0.997,1257,เขากำลังวางแผนที่จะเรียนต่อในระดับปริญญาโทที่ต่างประเทศ,1528,เขากำลังวางแผนที่จะเรียนต่อปริญญาโทในต่างประเทศ
0.997,681,เมื่อวานนี้ฉันเจอเพื่อนเก่าที่ไม่ได้พบกันมานาน,1480,เมื่อวานนี้ฉันได้พบเพื่อนเก่าที่ไม่ได้เจอกันนานมาก
0.997,1137,เมื่อวานฉันเจอเพื่อนเก่าที่ไม่ได้พบกันมานานมาก,1480,เมื่อวานนี้ฉันได้พบเพื่อนเก่าที่ไม่ได้เจอกันนานมาก
0.997,711,ถ้าอากาศดีสุดสัปดาห์นี้ เราไปปิกนิกกันไหม?,2045,ถ้าอากาศดีสุดสัปดาห์นี้ เราไปปิกนิกกันไหม
0.997,1503,ผมชอบฟังเพลงขณะขับรถเพราะทำให้ผ่อนคลาย,1927,ฉันชอบฟังเพลงขณะขับรถ เพราะมันทำให้ผ่อนคลาย
0.997,945,ฉันต้องการซื้อของขวัญให้แม่ แต่ยังไม่แน่ใจว่าจะเลือกอะไรดี,1131,ฉันต้องการซื้อของขวัญให้แม่แต่ยังไม่รู้จะเลือกอะไรดี
0.997,538,ฉันชอบอ่านหนังสือก่อนนอน เพราะทำให้ผ่อนคลายและหลับสบายขึ้น,936,ฉันชอบอ่านหนังสือก่อนนอน เพราะมันช่วยให้ฉันผ่อนคลายและหลับสบายขึ้น
0.997,32,ฉันกำลังมองหาของขวัญพิเศษสำหรับวันเกิดของแม่ คุณมีอะไรแนะนำไหม,1606,ฉันกำลังมองหาของขวัญพิเศษสำหรับวันเกิดของแม่ คุณมีคำแนะนำไหม
0.997,1077,เราควรเคารพความคิดเห็นของผู้อื่น แม้ว่าเราจะไม่เห็นด้วยก็ตาม,2472,เราควรเคารพความคิดเห็นของผู้อื่นแม้ว่าเราจะไม่เห็นด้วย
0.996,78,ถ้าเรารู้จักการจัดลำดับความสำคัญ เราก็จะบริหารเวลาได้อย่างมีประสิทธิภาพ,933,ถ้าเรารู้จักการจัดลำดับความสำคัญ เราก็จะสามารถบริหารเวลาได้อย่างมีประสิทธิภาพ
0.996,1812,เมื่อวานนี้ฉันไปหาหมอฟัน เพราะปวดฟันมาหลายวันแล้ว,2343,เมื่อวานนี้ฉันจึงไปพบหมอฟันเพราะปวดฟันมาหลายวันแล้ว
0.996,303,การอ่านข่าวทุกวันทำให้เราทันเหตุการณ์และรอบรู้มากขึ้น,607,การอ่านข่าวทุกวันจะช่วยให้เราทันเหตุการณ์และรอบรู้มากขึ้น
0.996,310,เมื่อเราเรียนรู้จากความผิดพลาด เราก็จะเติบโตและแข็งแกร่งขึ้น,1291,เมื่อเราเรียนรู้จากความผิดพลาด เราก็จะเติบโตและเข้มแข็งขึ้น
0.995,548,ฉันชอบฟังเพลงเวลาขับรถ เพราะทำให้การเดินทางสนุกสนานขึ้น,2037,ฉันชอบฟังเพลงขณะขับรถ เพราะมันทำให้การเดินทางสนุกขึ้น
0.995,1223,ฉันชอบฟังเพลงขณะขับรถ เพราะมันทำให้รู้สึกผ่อนคลาย,1503,ผมชอบฟังเพลงขณะขับรถเพราะทำให้ผ่อนคลาย
0.995,1391,ฉันชอบฟังเพลงขณะขับรถ เพราะมันทำให้รู้สึกผ่อนคลาย,1503,ผมชอบฟังเพลงขณะขับรถเพราะทำให้ผ่อนคลาย
0.995,745,คุณสนใจเข้าร่วมกิจกรรมอาสาสมัครกับเราหรือไม่?,2482,คุณสนใจเข้าร่วมกิจกรรมอาสาสมัครกับเราหรือเปล่า
0.995,1965,ฉันหวังว่าอากาศจะดีในวันหยุด เพื่อที่เราจะได้ไปปิกนิก,2303,ฉันหวังว่าอากาศจะดีในวันหยุดนี้เพื่อที่เราจะได้ไปปิกนิกกัน
0.995,1992,ฉันหวังว่าเราจะสามารถทำงานร่วมกันได้อีกในอนาคต,2114,ฉันหวังว่าเราจะมีโอกาสได้ทำงานร่วมกันอีกในอนาคต
0.995,36,ฉันหวังว่าเราจะได้มีโอกาสทำงานร่วมกันอีกในอนาคต,1992,ฉันหวังว่าเราจะสามารถทำงานร่วมกันได้อีกในอนาคต
0.995,738,เราควรสนับสนุนสินค้าท้องถิ่นเพื่อเศรษฐกิจในชุมชน,1701,เราควรสนับสนุนสินค้าท้องถิ่นเพื่อช่วยเศรษฐกิจของชุมชน
0.995,10,หากเราวางแผนการเดินทางล่วงหน้า เราจะสามารถประหยัดค่าใช้จ่ายและเวลาได้มากขึ้น,1021,หากเราวางแผนการเดินทางล่วงหน้า เราจะสามารถประหยัดทั้งเวลาและเงินได้มากขึ้น
0.994,620,ถ้าเราเรียนรู้จากความผิดพลาด เราก็จะเติบโตและแข็งแกร่งขึ้น,1291,เมื่อเราเรียนรู้จากความผิดพลาด เราก็จะเติบโตและเข้มแข็งขึ้น
0.994,1500,ฉันต้องการซื้อของขวัญให้เพื่อนแต่ยังไม่รู้ว่าจะซื้ออะไรดี,2093,ฉันต้องการซื้อของขวัญให้เพื่อน แต่ไม่รู้ว่าจะเลือกอะไรดี
0.994,490,คุณสนใจที่จะเข้าร่วมกิจกรรมอาสาสมัครกับเราหรือไม่?,2482,คุณสนใจเข้าร่วมกิจกรรมอาสาสมัครกับเราหรือเปล่า
0.994,2283,ฉันรู้สึกขอบคุณสำหรับทุกสิ่งที่ฉันมีในชีวิต,2501,ฉันรู้สึกขอบคุณสำหรับทุกสิ่งที่มีในชีวิต
0.994,70,ฉันชอบเดินทางด้วยรถไฟ เพราะได้เห็นวิวทิวทัศน์สวยงามระหว่างทาง,1423,ฉันชอบเดินทางด้วยรถไฟ เพราะได้ชมวิวทิวทัศน์สวยงาม
0.993,1715,แม้ว่าฝนจะตกหนัก แต่พวกเราก็ยังต้องออกไปทำงานตามปกติ,1808,แม้ว่าฝนจะตกหนัก แต่พวกเราก็ต้องไปทำงานตามปกติ
0.993,2141,คุณพ่อชอบฟังเพลงแจ๊สแบบโบราณขณะทำงานไม้ในโรงรถช่วงสุดสัปดาห์,2156,คุณพ่อชอบทำงานไม้ไปฟังเพลงแจ๊สโบราณในโรงรถช่วงวันหยุดสุดสัปดาห์
0.993,1159,ฉันอยากลองทำอาหารสูตรใหม่ที่เห็นในอินเตอร์เน็ต,1576,ฉันอยากลองทำอาหารสูตรใหม่ที่พบในอินเทอร์เน็ต
0.993,2226,ตอนนี้ฉันกำลังเรียนทำอาหารไทยเพราะอยากทำให้ครอบครัวทาน,2409,ฉันกำลังเรียนทำอาหารไทยเพราะอยากทำอาหารให้ครอบครัวทาน
0.992,701,คุณสามารถแนะนำสถานที่ท่องเที่ยวที่น่าสนใจในเมืองนี้ได้ไหม?,1557,คุณสามารถแนะนำสถานที่ท่องเที่ยวที่น่าสนใจในเมืองนี้ได้ไหม
0.992,1554,ถ้าเราประหยัดเงินเราก็สามารถไปเที่ยวต่างประเทศได้,1951,ถ้าเราประหยัดเงินได้มากพอ เราสามารถไปเที่ยวต่างประเทศได้
0.992,2384,วันนี้อากาศร้อนมาก แต่ลมก็พัดโผนมาให้รู้สึกเย็นขึ้น,2394,วันนี้อากาศร้อนมาก แต่ลมก็พัดมาให้รู้สึกเย็นขึ้นหน่อย
0.991,903,การฟังเพลงคลาสสิกช่วยให้ฉันรู้สึกผ่อนคลายและมีสมาธิในการทำงาน,1099,การฟังเพลงคลาสสิกช่วยให้ฉันสงบและมีสมาธิในการทำงาน
0.991,1025,เมื่อเราเรียนรู้จากความผิดพลาด เราก็จะเติบโตและพัฒนาตนเองได้มากขึ้น,1639,เมื่อเราเรียนรู้จากความผิดพลาด เราจะเติบโตและพัฒนายิ่งขึ้น
0.991,1653,การวางแผนล่วงหน้าช่วยให้เราจัดการเวลาได้มีประสิทธิภาพมากขึ้น,1957,การวางแผนล่วงหน้าช่วยให้เราจัดการเวลาได้ดีขึ้น
0.991,1082,การสื่อสารที่ดีเป็นกุญแจสำคัญในการทำงานเป็นทีมอย่างมีประสิทธิภาพ,1413,การสื่อสารที่ดีเป็นกุญแจสำคัญในการทำงานเป็นทีม
0.991,1413,การสื่อสารที่ดีเป็นกุญแจสำคัญในการทำงานเป็นทีม,1660,การสื่อสารที่ดีเป็นกุญแจสำคัญในการทำงานเป็นทีมอย่างมีประสิทธิภาพ
0.991,36,ฉันหวังว่าเราจะได้มีโอกาสทำงานร่วมกันอีกในอนาคต,1703,ฉันหวังว่าเราจะมีโอกาสได้ร่วมงานกันอีกในอนาคต
0.991,1703,ฉันหวังว่าเราจะมีโอกาสได้ร่วมงานกันอีกในอนาคต,2114,ฉันหวังว่าเราจะมีโอกาสได้ทำงานร่วมกันอีกในอนาคต
0.991,2055,เราควรปลูกต้นไม้เพิ่ม เพื่อทำให้สิ่งแวดล้อมดีขึ้น,2427,เราควรปลูกต้นไม้มากขึ้นเพื่อสิ่งแวดล้อมที่ดี
0.991,33,แม้ว่าวันนี้จะเหนื่อย แต่ฉันก็มีความสุขที่ได้ช่วยเหลือผู้อื่น,563,แม้ว่าวันนี้จะเหนื่อย แต่ฉันก็รู้สึกดีที่ได้ช่วยเหลือผู้อื่น
0.991,1092,เขาเป็นคนที่มีน้ำใจและมักจะช่วยเหลือผู้อื่นอยู่เสมอ,1555,เขาเป็นคนที่ใจดีและมักจะช่วยเหลือผู้อื่นเสมอ
0.991,1409,การอ่านหนังสือก่อนนอนช่วยให้ฉันหลับได้ง่ายขึ้น,1941,การอ่านหนังสือก่อนนอนช่วยให้ฉันหลับสบายขึ้น
0.991,780,ฉันชอบฟังเพลงเวลาทำงานเพราะช่วยให้มีสมาธิ,1592,ฉันชอบฟังเพลงขณะทำงานเพราะมันช่วยให้ฉันมีสมาธิมากขึ้น
0.99,1941,การอ่านหนังสือก่อนนอนช่วยให้ฉันหลับสบายขึ้น,2270,ฉันคิดว่าการอ่านหนังสือก่อนนอนช่วยให้หลับสบายขึ้น
0.99,1058,การอ่านหนังสือก่อนนอนช่วยให้ฉันนอนหลับสบายขึ้น,1409,การอ่านหนังสือก่อนนอนช่วยให้ฉันหลับได้ง่ายขึ้น
0.989,1099,การฟังเพลงคลาสสิกช่วยให้ฉันสงบและมีสมาธิในการทำงาน,1463,การฟังเพลงคลาสสิกช่วยให้ฉันมีสมาธิในการทำงาน
0.989,1092,เขาเป็นคนที่มีน้ำใจและมักจะช่วยเหลือผู้อื่นอยู่เสมอ,1233,เขาเป็นคนที่มีน้ำใจและมักจะช่วยเหลือผู้อื่นเสมอเมื่อมีโอกาส
0.989,932,ฉันชอบการฟังเสียงฝนตก เพราะมันทำให้ฉันรู้สึกสงบและผ่อนคลาย,2076,ฉันชอบฟังเสียงฝนตก มันทำให้ฉันรู้สึกสงบ
0.989,1509,เราควรออกกำลังกายเป็นประจำเพื่อสุขภาพที่ดี,2416,เราควรออกกำลังกายเป็นประจำเพื่อสุขภาพที่แข็งแรง
0.989,278,เมื่อถึงฤดูหนาว อากาศจะเย็นลงและใบไม้จะเปลี่ยนสี,1072,เมื่อฤดูหนาวมาเยือน อากาศก็เย็นลงและใบไม้ก็เริ่มเปลี่ยนสี
0.989,936,ฉันชอบอ่านหนังสือก่อนนอน เพราะมันช่วยให้ฉันผ่อนคลายและหลับสบายขึ้น,2016,ฉันชอบอ่านหนังสือก่อนนอน เพราะมันทำให้ฉันผ่อนคลาย
0.988,1489,แมวของฉันชอบนอนริมหน้าต่างที่มีแสงแดดส่องถึง,2408,แมวของฉันชอบนอนอยู่ข้างหน้าต่างเพื่อรับแสงแดด
0.988,1058,การอ่านหนังสือก่อนนอนช่วยให้ฉันนอนหลับสบายขึ้น,2270,ฉันคิดว่าการอ่านหนังสือก่อนนอนช่วยให้หลับสบายขึ้น
0.988,576,การทำงานเป็นทีมจะทำให้เราสามารถบรรลุเป้าหมายได้เร็วขึ้น,1258,ถ้าเราทำงานเป็นทีม เราจะสามารถบรรลุเป้าหมายได้เร็วขึ้น
0.988,311,ฉันตั้งใจว่าจะออกกำลังกายทุกวันเพื่อสุขภาพที่ดี,1183,ฉันตั้งใจว่าจะออกกำลังกายทุกวันเพื่อสุขภาพที่ดีขึ้น
0.988,311,ฉันตั้งใจว่าจะออกกำลังกายทุกวันเพื่อสุขภาพที่ดี,1969,ฉันตั้งใจว่าจะออกกำลังกายทุกวันเพื่อสุขภาพที่ดีขึ้น
0.988,1158,เขาเป็นคนตลกและทำให้ทุกคนหัวเราะได้เสมอ,1519,เขาเป็นคนตลกและมักจะทำให้ทุกคนหัวเราะ
0.988,1847,หลังจากออกกำลังกาย ฉันรู้สึกสดชื่นขึ้นมาก,2027,หลังจากที่ฉันออกกำลังกายเสร็จ ฉันรู้สึกสดชื่นมาก
0.987,9,ฉันชอบฟังเพลงขณะขับรถ เพราะมันทำให้ฉันรู้สึกผ่อนคลายและสนุกสนาน,1223,ฉันชอบฟังเพลงขณะขับรถ เพราะมันทำให้รู้สึกผ่อนคลาย
0.987,9,ฉันชอบฟังเพลงขณะขับรถ เพราะมันทำให้ฉันรู้สึกผ่อนคลายและสนุกสนาน,1391,ฉันชอบฟังเพลงขณะขับรถ เพราะมันทำให้รู้สึกผ่อนคลาย
0.987,1004,แม้ว่างานจะยาก แต่ฉันก็จะทำให้ดีที่สุดเท่าที่จะทำได้,1116,ถึงแม้ว่างานจะยาก แต่ฉันก็จะพยายามทำให้ดีที่สุด
0.987,32,ฉันกำลังมองหาของขวัญพิเศษสำหรับวันเกิดของแม่ คุณมีอะไรแนะนำไหม,1242,ฉันกำลังมองหาของขวัญที่พิเศษสำหรับวันเกิดของแม่
0.987,2385,เขาทำงานหนักมากจนเหนื่อยโหมไปทั้งตัว,2398,เขาทำงานหนักมากจนเหนื่อยโผนไปทั้งตัว
0.986,699,การฟังเพลงช่วยให้ฉันผ่อนคลายหลังจากวันที่ยาวนาน,2274,การฟังเพลงโปรดช่วยให้ฉันผ่อนคลายหลังจากวันที่ยาวนาน
0.986,532,คุณคิดว่าอะไรคือสิ่งที่ทำให้ชีวิตมีความหมายที่สุด?,2499,คุณคิดว่าอะไรคือสิ่งที่ทำให้ชีวิตมีความหมาย
