thai sentence,thai phoneme
บางศพมีคราบสีขาวจับเขรอะขอบปาก,b aː ŋ _ s o2 p _ m iː _ kʰr aː3 p _ s iː5 kʰ aː5 w _ c a2 p _ kʰr ɤ2 _ kʰ ᴐː2 p _ p aː2 k
ผลการสอบปากคำพนักงานบริษัททอร์เซนพับบลิคเอเยนซี่,pʰ o5 n _ k aː n _ s ᴐː2 p p aː2 k kʰ a m _ pʰ a4 n a4 k ŋ aː n b ᴐː r i4 s a2 t _ tʰ ᴐː _ s eː n _ pʰ a4 p _ bl i2 k _ ʔ eː _ j eː n _ s iː3
เจ้าสัวชาตรีชมเปาะหุ้นกระฉูดผลงานรัฐเนื้อเนื้ออุ๋ยไม่รู้ใครสั่งบีบสเปรด,c aː3 w s uːa5 _ cʰ aː tr iː _ cʰ o m p ᴐ2 _ h u3 n _ kr a2 cʰ uː2 t _ pʰ o5 n ŋ aː n _ r a4 t _ n ɯːa4 _ n ɯːa4 _ ʔ u5 j _ m a3 j _ r uː4 _ kʰr a j _ s a2 ŋ _ b iː2 p _ s a2 pr eː2 t
มอบวัดพระบาทน้ำพุสร้างเตาเผาเอดส์,m ᴐː3 p _ w a4 t pʰr a4 b aː2 t n aː4 m pʰ u4 _ s aː3 ŋ _ t a w pʰ a5 w _ ʔ eː2 t
ลงนามในสมุดอวยพรพร้อมพร้อมกับที่วงดนตรีออเคสตร้าของวงดุริยางค์ทหารบกบรรเลงเพลงเว็ดดิ้งมาร์ชคลอไปด้วย,l o ŋ n aː m _ n a j _ s a2 m u2 t _ ʔ uːa j pʰ ᴐː n _ pʰr ᴐː4 m _ pʰr ᴐː4 m k a2 p _ tʰ iː3 _ w o ŋ d o n tr iː _ ʔ ᴐː _ kʰ eː3 t _ t a2 r aː3 _ kʰ ᴐː5 ŋ _ w o ŋ d u2 r i4 j aː ŋ _ tʰ a4 h aː5 n b o2 k _ b a n l eː ŋ _ pʰl eː ŋ _ w e4 t _ d i3 ŋ _ m aː _ cʰ o4 k _ l ᴐː _ p a j _ d uːa3 j
ด้วยก่อนที่คู่บ่าวสาวจะเดินลอดซุ้มกระบี่ของ,d uːa3 j _ k ᴐː2 n _ tʰ iː3 _ kʰ uː3 b aː2 w s aː5 w _ c a2 _ d ɤː n _ l ᴐː3 t _ s u4 m _ kr a2 b iː2 _ kʰ ᴐː5 ŋ
แล้วผลุนผลันออกจากบ้านไป,l ɛː4 w _ pʰl u5 n pʰl a5 n _ ʔ ᴐː2 k _ c aː2 k _ b aː3 n _ p a j
พรรคประชาธิปัตย์เตรียมชำแหละตี๋กร่าง,pʰ a4 k _ pr a2 cʰ aː tʰ i4 p a2 t _ tr iːa m _ cʰ a m l ɛ2 _ t iː5 _ kr aː2 ŋ
โดยนั่งรถเข็นมามีนางเอพริวเบ็ญจกุลมารดาเป็นผู้พามา,d oː j _ n a3 ŋ _ r o4 t kʰ e5 n _ m aː _ m iː _ n aː ŋ _ ʔ eː _ pʰr i4 _ c a2 k u n _ m aː n d aː _ p e n _ pʰ uː3 _ pʰ aː _ m aː
โดยมีหม่อมศรีรัศมิ์มหิดลณอยุธยา,d oː j _ m iː _ m ᴐː2 m _ s iː5 _ r a4 t _ m a4 h i2 d o n _ n a4 _ ʔ a2 j u4 t tʰ a4 j aː
จะราดอึประท้วงอีกครั้งโดยครั้งนี้จะมาแปลกกว่าครั้งเก่าอย่างแน่นอน,c a2 _ r aː _ pr a2 tʰ uːa4 ŋ _ ʔ iː2 k _ kʰr a4 ŋ _ d oː j _ kʰr a4 ŋ n iː4 _ c a2 _ m aː _ pl ɛː2 k _ kw aː2 _ kʰr a4 ŋ _ k a2 w _ j aː2 ŋ _ n ɛː3 n ᴐː n
สระแก้วชุมพรสุราษฎร์ธานีพัทลุงและเพชรบุรี,s a2 k ɛː3 w _ cʰ u m pʰ ᴐː n _ s u2 r aː3 t tʰ aː n iː _ pʰ a4 t tʰ a4 l u ŋ _ l ɛ4 _ pʰ e4 t cʰ a4 b u2 r iː
เพชรบุรีโดยส่งเสริมให้มีการจัดทำศูนย์รีไซเคิลชุมชน,pʰ e4 t cʰ a4 b u2 r iː _ d oː j _ s o2 ŋ s ɤː5 m _ h a3 j _ m iː _ k aː n _ c a2 t tʰ a m _ s uː5 n _ r iː s a j kʰ ɤː n _ cʰ u m cʰ o n
ชุมชนธนาคารขยะรีไซเคิลในโรงเรียนการทำปุ๋ยหมักและการทำน้ำหมักจุลินทรีย์และอื่นอื่น,cʰ u m cʰ o n _ tʰ a4 n aː kʰ aː n _ kʰ a2 j a2 _ r iː s a j kʰ ɤː n _ n a j _ r oː ŋ r iːa n _ k aː n _ tʰ a m _ p u5 j m a2 k _ l ɛ4 _ k aː n _ tʰ a m _ n aː4 m _ m a2 k _ c u2 l i n s iː _ l ɛ4 _ ʔ ɯː2 n _ ʔ ɯː2 n
จะได้ลดการพิจารณาเป็นรายรายรวมทั้งให้เผื่อช่องทางพลิกแพลงในการแข่งขันกับต่างประเทศ,c a2 _ d aː3 j _ l o4 t _ k aː n _ pʰ i4 c aː r a4 n aː _ p e n _ r aː j _ r aː j _ r uːa m tʰ a4 ŋ _ h a3 j _ pʰ ɯːa2 _ cʰ ᴐː3 ŋ tʰ aː ŋ _ pʰl i4 k pʰl ɛː ŋ _ n a j _ k aː n _ kʰ ɛː2 ŋ kʰ a5 n _ k a2 p _ t aː2 ŋ pr a2 tʰ eː3 t
ตี๋กร่างข่มขู่จิ๋วขอเก้าอี้รัฐมนตรี,t iː5 _ kr aː2 ŋ _ kʰ o2 m kʰ uː2 _ c i5 w _ kʰ ᴐː5 _ k a3 w ʔ iː3 _ r a4 t tʰ a2 m o n tr iː
ยี่ห้อโคลท์ของกลางมอบต่อพนักงานสอบสวน,j iː3 h ᴐː3 _ kʰ oː n _ kʰ ᴐː5 ŋ kl aː ŋ _ m ᴐː3 p _ t ᴐː2 _ pʰ a4 n a4 k ŋ aː n s ᴐː2 p s uːa5 n
เพื่อวิจัยหาลำดับเบสข้าวสายพันธุ์นิพพอนบาเร,pʰ ɯːa3 _ w i4 c a j _ h aː5 _ l a m d a2 p _ b eː2 t _ kʰ aː3 w _ s aː5 j pʰ a n _ n i4 p _ pʰ ᴐː n _ b aː _ r eː
ศึกษาวิจัยโครโมโซมที่เก้าประมาณสองล้านเบสจากสี่ร้อยสามสิบล้านเบส,s ɯ2 k s aː5 _ w i4 c a j _ kʰr oː m oː s oː m _ tʰ iː3 _ k a3 w _ pr a2 m aː n _ s ᴐː5 ŋ _ l aː4 n _ b eː2 t _ c aː2 k _ s iː2 _ r ᴐː4 j _ s aː5 m _ s i2 p _ l aː4 n _ b eː2 t
เบสของข้าวสายพันธุ์นิพพอนบาเรนั้นขณะนี้ในส่วนการวิจัยของไทยได้เสร็จสิ้นแล้ว,b eː2 t _ kʰ ᴐː5 ŋ _ kʰ aː3 w _ s aː5 j pʰ a n _ n i4 p _ pʰ ᴐː n _ b aː _ r eː _ n a4 n _ kʰ a2 n a2 n iː4 _ n a j _ s uːa2 n _ k aː n _ w i4 c a j _ kʰ ᴐː5 ŋ _ tʰ a j _ d aː3 j _ s e2 t s i3 n _ l ɛː4 w
โอกาสการกดเกรดหรือเกรดเฟ้อจึงเกิดขึ้นน้อยมาก,ʔ oː k aː2 t _ k aː n _ k o2 t _ kr eː2 t _ r ɯː5 _ kr eː2 t _ f ɤː4 _ c ɯ ŋ _ k ɤː2 t _ kʰ ɯ3 n _ n ᴐː4 j _ m aː3 k
ถอยกรูดขริบหูสุนัข,tʰ ᴐː5 j kr uː2 t _ kʰr i2 p _ h uː5 _ s u2 n a4 k
และในอนาคตหากเหลือปุ๋ยมากพอ,l ɛ4 _ n a j _ ʔ a2 n aː kʰ o4 t _ h aː2 k _ l ɯːa5 _ p u5 j _ m aː3 k _ pʰ ᴐː
วัตถุระเบิดสารพิษและสารติดเชื้อวัตถุกัมมันตรังสีก๊าซ,w a4 t tʰ u2 r a4 b ɤː2 t _ s aː5 n pʰ i4 t _ l ɛ4 _ s aː5 n _ t i2 t cʰ ɯːa4 _ w a4 t tʰ u2 _ k a m m a n t a2 r a ŋ s iː5 _ k aː4 t
ก๊าซหรือก๊าซเหลวบรรจุในภาชนะโดยมีปริมาณรวมกันเกินกว่าหนึ่งพันลิตร,k aː4 t _ r ɯː5 _ k aː4 t l eː5 w _ b a n c u2 _ n a j _ pʰ aː cʰ a4 n a4 _ d oː j _ m iː _ p a2 r i4 m aː n _ r uːa m _ k a n _ k ɤː n _ kw aː2 _ n ɯ2 ŋ _ pʰ a n _ l i4 t
กรรมการบริษัทไทยวัฒนาฟาร์มาซูติคัลเด็กซ์โทรสจำกัด,k a m m a4 k aː n b ᴐː r i4 s a2 t _ tʰ a j _ w a4 t tʰ a4 n aː _ f aː _ m aː _ s uː _ t i2 _ kʰ a n _ d e2 k _ tʰr oː3 t _ c a m k a2 t
เพราะเท่าที่เคยรู้หนี้เสียในระบบผ่อนชำระเครื่องโทรศัพท์มือถือของรีเทลไฟแนนซ์บางรายพุ่งสูงถึงสิบห้าเปอร์เซ็นต์,pʰr ᴐ4 _ tʰ a3 w tʰ iː3 _ kʰ ɤː j _ r uː4 _ n iː3 s iːa5 _ n a j _ r a4 b o2 p _ pʰ ᴐː2 n cʰ a m r a4 _ kʰr ɯːa3 ŋ _ tʰ oː r a4 s a2 p m ɯː tʰ ɯː5 _ kʰ ᴐː5 ŋ _ r iː tʰ eː n _ f a j n ɛː n _ b aː ŋ _ r aː j _ pʰ u3 ŋ _ s uː5 ŋ _ tʰ ɯ5 ŋ _ s i2 p _ h aː3 _ p ɤː s e n
มิ่งขวัญเปรี้ยงช่องเก้าใหม่สุดจ๊าบ,m i3 ŋ kʰw a5 n _ pr iːa3 ŋ _ cʰ ᴐː3 ŋ _ k a3 w _ m a2 j _ s u2 t _ c aː4 p
ที่จะเข้าแทรกแซงการประท้วงปิดท่าเรือฝั่งตะวันตกเวสต์โคสต์พอร์ตของประเทศ,tʰ iː3 _ c a2 _ kʰaw3s ɛː3 k s ɛː ŋ _ k aː n _ pr a2 tʰ uːa4 ŋ _ p i2 t _ tʰ aː3 r ɯːa _ f a2 ŋ _ t a2 w a n t o2 k _ w eː3 t _ kʰ oː3 t _ pʰ ᴐː3 t _ kʰ ᴐː5 ŋ _ pr a2 tʰ eː3 t
จัดโครงการบรีสเปิดโลกการเรียนรู้สู่เด็กไทย,c a2 t _ kʰr oː ŋ k aː n _ br iː2 t _ p ɤː2 t l oː3 k _ k aː n _ r iːa n r uː4 _ s uː2 _ d e2 k _ tʰ a j
ของบรรจุภัณฑ์เหลือใช้จากบรีส,kʰ ᴐː5 ŋ _ b a n c u2 pʰ a n _ l ɯːa5 cʰ a4 j _ c aː2 k _ br iː2 t
ขณะที่ดัชนีห้าสิบของหุ้นบลูชิพยุโรปจะลดลงหนึ่งจุดเจ็ดเปอร์เซ็นต์,kʰ a2 n a2 tʰ iː3 _ d a2 t cʰ a4 n iː _ h aː3 _ s i2 p _ kʰ ᴐː5 ŋ _ h u3 n _ bl uː _ cʰ i4 p _ j u4 r oː3 p _ c a2 _ l o4 t _ l o ŋ _ n ɯ2 ŋ _ c u2 t _ c e2 t _ p ɤː s e n
เผยบิ๊กจิ๋วแทบกระอักเลือด,pʰ ɤː5 j _ b i4 k _ c i5 w _ tʰ ɛː3 p _ kr a2 ʔ a2 k l ɯːa3 t
โดยได้รายงานในบทบรรณาธิการว่านักการเมืองหญิงที่ต้องกลายเป็นข่าวอื้อฉาวชื่อว่านางชูเหม่ยเฟ็ง,d oː j _ d aː3 j _ r aː j ŋ aː n _ n a j _ b o2 t b a n n aː tʰ i4 k aː n _ w aː3 _ n a4 k k aː n m ɯːa ŋ _ j i5 ŋ _ tʰ iː3 _ t ᴐː3 ŋ _ kl aː j p e n _ kʰ aː2 w _ ʔ ɯː3 cʰ aː5 w _ cʰ ɯː3 _ w aː3 _ n aː ŋ _ cʰ uː _ m eː2
ที่ครั่นเนื้อครั่นตัวรอเวลาระทึกเช่นนี้มาหลายวันแล้ว,tʰ iː3 _ kʰr a3 n n ɯːa4 kʰr a3 n t uːa _ r ᴐː _ w eː l aː _ r a4 tʰ ɯ4 k _ cʰ eː3 n n iː4 _ m aː _ l aː5 j _ w a n _ l ɛː4 w
ทำเก๋ให้กรมวิชาการเขียนผลการสอบ,tʰ a m _ k eː5 _ h a3 j _ kr o m w i4 cʰ aː k aː n _ kʰ iːa5 n _ pʰ o5 n _ k aː n _ s ᴐː2 p
กรมศุลตั้งเขตดิวตี้ฟรีเว้นภาษีเอสเอ็มอี,kr o m _ s u5 n l a4 _ t a3 ŋ _ kʰ eː2 t _ d i w _ t iː3 _ fr iː _ w eː4 n _ pʰ aː s iː5 _ ʔ eː4 s _ ʔ e m _ ʔ iː
คือบริษัทแมสบ็อกซ์,kʰ ɯː _ b ᴐː r i4 s a2 t _ m ɛː _ s a2 b ᴐ2 k
และยังมีบาดแผลถูกเชือดซ้ำด้วยของมีคมเป็นแผลเหวอะหลอดลมขาด,l ɛ4 _ j a ŋ _ m iː _ b aː2 t pʰ ɛː5 n _ tʰ uː2 k _ cʰ ɯːa3 t _ s a4 m _ d uːa3 j _ kʰ ᴐː5 ŋ _ m iː _ kʰ o m _ p e n _ pʰ ɛː5 n _ w ɤ2 _ l ᴐː2 t l o m _ kʰ aː2 t
อาทิขนมโดนัตเปาะเปี๊ยะทอด,ʔ aː tʰ i4 _ kʰ a2 n o5 m _ d oː n a4 t _ p ᴐ2 p ia4 tʰ ᴐː3 t
ในสังกัดบริษัทแพคส์อาร์มี่การ์ดกรุ๊ปอินเตอร์เนชั่นแนลจำกัด,n a j _ s a5 ŋ k a2 t _ b ᴐː r i4 s a2 t _ pʰ ɛː3 k _ ʔ aː _ m iː3 _ k aː4 t _ k a2 r u4 p _ ʔ i n t ɤː n eː cʰ a3 n n ɛː n _ c a m k a2 t
ผู้อำนวยการหวยแก้ข้อหาพลิกลิ้นความคืบหน้าในคดีล็อกหวย,pʰ uː3 ʔ a m n uːa j k aː n _ h uːa5 j _ k ɛː3 _ kʰ ᴐː3 h aː5 _ pʰl i4 k l i4 n _ kʰw aː m _ kʰ ɯː3 p n aː3 _ n a j _ kʰ a4 d iː _ l ᴐ4 k _ h uːa5 j
คือนายสมานจิ๋วกร่างหรือผู้ใหญ่รอง,kʰ ɯː _ n aː j _ s a2 m aː5 n _ c i5 w _ kr aː2 ŋ _ r ɯː5 _ pʰ uː3 j a2 j _ r ᴐː ŋ
พรรคประชาธิปัตย์แขวะนายกกลืนน้ำลาย,pʰ a4 k _ pr a2 cʰ aː tʰ i4 p a2 t _ kʰw ɛ2 _ n aː j o4 k _ kl ɯː n _ n aː4 m l aː j
ไม่ใช่ประเด็นที่ทำให้การตรวจสอบไขว้เขวได้,m a3 j cʰ a3 j _ pr a2 d e n _ tʰ iː3 _ tʰ a m h a3 j _ k aː n _ tr uːa2 t s ᴐː2 p _ kʰw a3 j kʰ eː5 w _ d aː3 j
ออเดรย์แฮปเบิร์น,ʔ ᴐː _ d eː n _ h ɛː3 p _ b ɤː n
ปิดช่องโหว่ป้องกันความผิดพลาด,p i2 t _ cʰ ᴐː3 ŋ w oː2 _ p ᴐː3 ŋ k a n _ kʰw aː m _ pʰ i2 t pʰl aː3 t
จึงแสดงอาการดุร้ายกระโดดงับหัวของน้องมลแล้วสะบัดจนน้องมลล้มทั้งยืน,c ɯ ŋ _ s a2 d ɛː ŋ _ ʔ aː k aː n _ d u2 r aː4 j _ kr a2 d oː2 t _ ŋ a4 p _ h uːa5 _ kʰ ᴐː5 ŋ _ n ᴐː4 ŋ _ m o n _ l ɛː4 w _ s a2 b a2 t _ c o n _ n ᴐː4 ŋ _ m o n _ l o4 m tʰ a4 ŋ j ɯː n
และแก้มก้นถูกกัดเนื้อฉีกขาด,l ɛ4 _ k ɛː3 m k o3 n _ tʰ uː2 k _ k a2 t _ n ɯːa4 _ cʰ iː2 k kʰ aː2 t
กวาง,kw aː ŋ
โดยเหยาะพริกไทยลงไปเพื่อดับกลิ่นคาว,d oː j _ j ᴐ2 _ pʰr i4 k tʰ a j _ l o ŋ _ p a j _ pʰ ɯːa3 _ d a2 p kl i2 n _ kʰ aː w
ได้แก่กอล์ฟช็อปปิ้งกลุ่มฮันนีมูน,d aː3 j k ɛː2 _ k ᴐː4 p _ cʰ ᴐ4 p _ p i3 ŋ _ kl u2 m _ h a n _ n iː _ m uː n
ตนกระโดดเฮอย่างสะใจเลย,t o n _ kr a2 d oː2 t _ h eː _ j aː2 ŋ _ s a2 c a j _ l ɤː j
ล้อมยิงดิ้นจระเข้หิวโซโผล่จากน้ำเขมือบแมว,l ᴐː4 m _ j i ŋ _ d i3 n _ c ᴐː r a4 kʰ eː3 _ h i5 w s oː _ pʰl oː2 _ c aː2 k _ n aː4 m _ kʰ a2 m ɯːa2 p _ m ɛː w
เด็กหญิงชี้ตัวโป๊ะเชะ,d e2 k j i5 ŋ _ cʰ iː4 t uːa _ p o4 _ cʰ e4
วีเจจ๋าณัฐฐาวีรนุชทองมี,w iː _ c eː _ c aː5 _ n a4 t tʰ a2 _ tʰ aː5 _ w iː r a4 _ n u4 t _ tʰ ᴐː ŋ _ m iː
ห้างหุ้นส่วนจำกัดฮกฮั้วจังหวัดสุโขทัย,h aː3 ŋ h u3 n s uːa2 n c a m k a2 t _ h o4 k _ h a4 w _ c a ŋ w a2 t _ s u2 kʰ oː5 tʰ a j
ขลุง,kʰ ᴐː5 _ l u ŋ
นอนคุดคู้คว่ำหน้าอยู่กับพื้น,n ᴐː n _ kʰ u4 t kʰ uː4 _ kʰw a3 m _ n aː3 _ j uː2 _ k a2 p _ pʰ ɯː4 n
แม้นายอาเตอะจะง้ออย่างไรก็ไม่ยอม,m ɛː4 _ n aː j _ ʔ aː _ t ɤ2 _ c a2 _ ŋ ᴐː4 _ j aː2 ŋ r a j _ k ᴐː3 _ m a3 j _ j ᴐː m
จากนั้นเสด็จเข้าสู่พลับพลาที่ประทับ,c aː2 k n a4 n _ s a2 d e2 t _ kʰ a3 w s uː2 _ pʰl a4 p pʰl aː _ tʰ iː3 _ pr a2 tʰ a4 p
สมาชิกวุฒิสภาขอกระโดดร่วมตรวจสอบเรื่องนี้ด้วย,s a2 m aː cʰ i4 k w u4 tʰ i4 s a2 pʰ aː _ kʰ ᴐː5 _ kr a2 d oː2 t _ r uːa3 m _ tr uːa2 t s ᴐː2 p _ r ɯːa3 ŋ _ n iː4 _ d uːa3 j
ประกวดสาวนะฮะครึกครื้น,pr a2 k uːa2 t _ s aː5 w n a4 _ h a4 _ kʰr ɯ4 k kʰr ɯː4 n
เมื่อแก๊งใต้ดินวางแผนบุกฉกตัวบรู๊คลีน,m ɯːa3 _ k ɛː4 ŋ _ t aː3 j d i n _ w aː ŋ pʰ ɛː5 n _ b u2 k _ cʰ o2 k _ t uːa _ b a2 r uː4 k _ l iː n
ช่างทาสีชะตาขาดสลิงขาดร่วงผล็อย,cʰ a3 ŋ tʰ aː s iː5 _ cʰ a4 t aː kʰ aː2 t _ s a2 l i5 ŋ _ kʰ aː2 t _ r uːa3 ŋ _ pʰl ᴐ5 j
ก็ต่างปรับสีสันให้อินเทรนด์บู๊ทส์รีเทลจำกัด,k ᴐː3 _ t aː2 ŋ _ pr a2 p _ s iː5 s a5 n _ h a3 j _ ʔ i n _ tʰ a4 r eː n _ b uː4 t _ r iː tʰ eː n _ c a m k a2 t
ทั้งโทนสีอบอุ่นโทนสีกลาง,tʰ a4 ŋ _ tʰ oː n s iː5 _ ʔ o2 p ʔ u2 n _ tʰ oː n s iː5 _ kl aː ŋ
ชอบพูดจากระแหนะกระแหนฝ่ายค้าน,cʰ ᴐː3 p _ pʰ uː3 t c aː _ kr a2 n ɛ2 kr a2 n ɛː5 _ f aː2 j kʰ aː4 n
พอข่าวเงียบเงียบลงบ้าง,pʰ ᴐː _ kʰ aː2 w _ ŋ iːa3 p _ ŋ iːa3 p _ l o ŋ _ b aː3 ŋ
จากนั้นได้ไปเปิดห้องพักที่โรงแรมของบ่อนกาสิโนแห่งหนึ่งที่ไม่มีผู้คนพลุพล่าน,c aː2 k n a4 n _ d aː3 j _ p a j _ p ɤː2 t _ h ᴐː3 ŋ pʰ a4 k _ tʰ iː3 _ r oː ŋ r ɛː m _ kʰ ᴐː5 ŋ _ b ᴐː2 n _ k aː s i2 n oː _ h ɛː2 ŋ _ n ɯ2 ŋ _ tʰ iː3 _ m a3 j _ m iː _ pʰ uː3 kʰ o n _ pʰl u4 _ pʰl aː3 n
งวดที่ถูกนี้ก็ซื้อกับยี่ปั๊วตามเคย,ŋ uːa3 t _ tʰ iː3 _ tʰ uː2 k _ n iː4 _ k ᴐː3 _ s ɯː4 _ k a2 p _ j iː3 p a4 w _ t aː m kʰ ɤː j
