cosine similarity,line1,sentence1,line2,sentence2
1.0,650,ถ้าเราช่วยกันรักษาสิ่งแวดล้อม โลกของเราก็จะน่าอยู่ขึ้น,1175,ถ้าเราช่วยกันรักษาสิ่งแวดล้อม โลกของเราก็จะน่าอยู่ขึ้น
1.0,787,ถ้าเราช่วยกันทำงานนี้ เราจะเสร็จเร็วขึ้น,2249,ถ้าเราช่วยกันทำงานนี้ เราจะเสร็จเร็วขึ้น
1.0,817,ถ้าเราไม่ลอง เราก็จะไม่รู้ว่าผลลัพธ์จะเป็นอย่างไร,1428,ถ้าเราไม่ลอง เราก็จะไม่รู้ว่าผลลัพธ์จะเป็นอย่างไร
1.0,1357,ฉันตั้งใจว่าจะออกกำลังกายทุกวันเพื่อสุขภาพที่ดีขึ้น,2243,ฉันตั้งใจว่าจะออกกำลังกายทุกวันเพื่อสุขภาพที่ดีขึ้น
1.0,1217,แม้ว่าฉันจะไม่เก่งกีฬา แต่ฉันก็สนุกกับการเล่นกับเพื่อนๆ,2326,แม้ว่าฉันจะไม่เก่งกีฬา แต่ฉันก็สนุกกับการเล่นกับเพื่อนๆ
1.0,1249,การสื่อสารที่ดีเป็นกุญแจสำคัญในการทำงานเป็นทีมอย่างมีประสิทธิภาพ,1892,การสื่อสารที่ดีเป็นกุญแจสำคัญในการทำงานเป็นทีมอย่างมีประสิทธิภาพ
1.0,1380,คุณคิดว่าอนาคตของเทคโนโลยีจะเป็นอย่างไร,2806,คุณคิดว่าอนาคตของเทคโนโลยีจะเป็นอย่างไร
1.0,1402,ฉันชอบฟังเพลงขณะขับรถ เพราะมันทำให้รู้สึกผ่อนคลาย,1602,ฉันชอบฟังเพลงขณะขับรถ เพราะมันทำให้รู้สึกผ่อนคลาย
1.0,1752,ฉันรู้สึกตื่นเต้นที่จะได้เริ่มงานใหม่ในสัปดาห์หน้า,2371,ฉันรู้สึกตื่นเต้นที่จะได้เริ่มงานใหม่ในสัปดาห์หน้า
1.0,1752,ฉันรู้สึกตื่นเต้นที่จะได้เริ่มงานใหม่ในสัปดาห์หน้า,2756,ฉันรู้สึกตื่นเต้นที่จะได้เริ่มงานใหม่ในสัปดาห์หน้า
1.0,2371,ฉันรู้สึกตื่นเต้นที่จะได้เริ่มงานใหม่ในสัปดาห์หน้า,2756,ฉันรู้สึกตื่นเต้นที่จะได้เริ่มงานใหม่ในสัปดาห์หน้า
1.0,38,ฉันหวังว่าเราจะได้มีโอกาสทำงานร่วมกันอีกในอนาคต,2405,ฉันหวังว่าเราจะมีโอกาสได้ทำงานร่วมกันอีกในอนาคต
0.999,676,ถ้าเรามีความสุขกับสิ่งเล็กๆ น้อยๆ ชีวิตจะมีความหมายมากขึ้น,1169,ถ้าเรามีความสุขกับสิ่งเล็กๆ น้อยๆ ชีวิตก็จะมีความหมายมากขึ้น
0.999,1425,ฉันกำลังมองหาของขวัญที่พิเศษสำหรับวันเกิดของแม่,2322,ฉันกำลังมองหาของขวัญพิเศษสำหรับวันเกิดของแม่
0.999,1078,ถ้าคุณมีเวลาว่างสุดสัปดาห์นี้ เราไปเดินเล่นที่สวนสาธารณะกันไหม,1818,ถ้าคุณมีเวลาว่างในสุดสัปดาห์นี้ เราไปเดินเล่นที่สวนสาธารณะกันไหม
0.999,344,เมื่อเราเรียนรู้จากความผิดพลาด เราก็จะเติบโตและแข็งแกร่งขึ้น,712,ถ้าเราเรียนรู้จากความผิดพลาด เราก็จะเติบโตและแข็งแกร่งขึ้น
0.999,1402,ฉันชอบฟังเพลงขณะขับรถ เพราะมันทำให้รู้สึกผ่อนคลาย,2200,ฉันชอบฟังเพลงขณะขับรถ เพราะมันทำให้ผ่อนคลาย
0.999,1602,ฉันชอบฟังเพลงขณะขับรถ เพราะมันทำให้รู้สึกผ่อนคลาย,2200,ฉันชอบฟังเพลงขณะขับรถ เพราะมันทำให้ผ่อนคลาย
0.999,569,คุณสนใจที่จะเข้าร่วมกิจกรรมอาสาสมัครกับเราหรือไม่?,844,คุณสนใจเข้าร่วมกิจกรรมอาสาสมัครกับเราหรือไม่?
0.998,776,เมื่อวานนี้ฉันเจอเพื่อนเก่าที่ไม่ได้พบกันมานาน,1309,เมื่อวานฉันเจอเพื่อนเก่าที่ไม่ได้พบกันมานานมาก
0.998,776,เมื่อวานนี้ฉันเจอเพื่อนเก่าที่ไม่ได้พบกันมานาน,2555,เมื่อวานนี้ฉันพบเพื่อนเก่าที่ไม่ได้เจอกันมานานมากแล้ว
0.998,1752,ฉันรู้สึกตื่นเต้นที่จะได้เริ่มงานใหม่ในสัปดาห์หน้า,2229,ฉันรู้สึกตื่นเต้นมากที่จะได้เริ่มงานใหม่ในสัปดาห์หน้า
0.998,2229,ฉันรู้สึกตื่นเต้นมากที่จะได้เริ่มงานใหม่ในสัปดาห์หน้า,2371,ฉันรู้สึกตื่นเต้นที่จะได้เริ่มงานใหม่ในสัปดาห์หน้า
0.998,2229,ฉันรู้สึกตื่นเต้นมากที่จะได้เริ่มงานใหม่ในสัปดาห์หน้า,2756,ฉันรู้สึกตื่นเต้นที่จะได้เริ่มงานใหม่ในสัปดาห์หน้า
0.998,1309,เมื่อวานฉันเจอเพื่อนเก่าที่ไม่ได้พบกันมานานมาก,2555,เมื่อวานนี้ฉันพบเพื่อนเก่าที่ไม่ได้เจอกันมานานมากแล้ว
0.998,753,ฉันเคยไปญี่ปุ่นเมื่อปีที่แล้วและประทับใจในวัฒนธรรมของเขา,2533,ฉันเคยไปญี่ปุ่นเมื่อปีที่แล้วและประทับใจในวัฒนธรรมของเขามาก
