"ฉันตื่นเช้าขึ้นมาแล้วออกไปเดินเล่นรอบสวนสาธารณะเพื่อสูดอากาศบริสุทธิ์","I woke up early and went for a walk around the park to breathe fresh air"
"เมื่อวานนี้ฝนตกหนักมากแต่ฉันยังคงต้องออกไปทำงานตามปกติ","Yesterday it rained heavily but I still had to go to work as usual"
"ถ้าคุณมีเวลาว่างพรุ่งนี้เราไปทานอาหารกลางวันด้วยกันไหม","If you have free time tomorrow, shall we have lunch together?"
"ตอนเด็กๆฉันชอบอ่านหนังสือใต้ต้นไม้ใหญ่หลังบ้านของฉัน","When I was a child, I loved reading books under the big tree behind my house"
"ในขณะที่ฉันกำลังทำอาหารเย็น โทรศัพท์ก็ดังขึ้นทันที","While I was cooking dinner, the phone suddenly rang"
"ฉันรู้สึกดีใจที่ได้พบเพื่อนเก่าที่ไม่ได้เจอกันมานานหลายปี","I was happy to meet an old friend whom I hadn't seen for many years"
"ถ้าเราวางแผนดีๆ การเดินทางครั้งนี้จะเป็นที่น่าจดจำมาก","If we plan well, this trip will be very memorable"
"เขาทำงานหนักเพื่อที่จะสามารถดูแลครอบครัวได้อย่างดีที่สุด","He works hard so that he can take care of his family in the best way"
"แม้ว่าจะมีอุปสรรคมากมาย เรายังคงมุ่งมั่นที่จะประสบความสำเร็จ","Even though there are many obstacles, we are still determined to succeed"
"ฉันชอบฟังเพลงขณะขับรถ เพราะมันทำให้รู้สึกผ่อนคลาย","I like listening to music while driving because it makes me feel relaxed"
"หลังจากที่ฝนหยุดตก พระอาทิตย์ก็โผล่ออกมาส่องแสงสดใส","After the rain stopped, the sun came out shining brightly"
"เมื่อถึงเวลานอน ฉันมักจะอ่านหนังสือเล่มโปรดก่อนหลับ","When it's bedtime, I usually read my favorite book before sleeping"
"ถ้าเธอต้องการความช่วยเหลือ โปรดอย่าลังเลที่จะบอกฉัน","If you need help, please don't hesitate to tell me"
"พรุ่งนี้ฉันจะไปซื้อของที่ตลาดเช้า คุณอยากจะไปด้วยกันไหม","Tomorrow I will go shopping at the morning market, would you like to come along?"
"เขาชอบเล่นกีฬาหลายประเภท โดยเฉพาะฟุตบอลและบาสเกตบอล","He likes to play many types of sports, especially football and basketball"
"ในช่วงวันหยุดยาว ฉันวางแผนจะไปเที่ยวทะเลกับครอบครัว","During the long holiday, I plan to go to the sea with my family"
"ฉันพยายามปลูกต้นไม้ในสวนหลังบ้านเพื่อสร้างบรรยากาศที่สดชื่น","I try to plant trees in the backyard to create a refreshing atmosphere"
"แม้ว่าอากาศจะร้อน แต่เขาก็ยังคงวิ่งออกกำลังกายทุกเช้า","Even though the weather is hot, he still goes running every morning"
"ฉันต้องการเรียนรู้ภาษาใหม่ๆ เพื่อที่จะเปิดโลกทัศน์ของฉัน","I want to learn new languages to broaden my horizons"
"เมื่อรถไฟมาถึงสถานี เราก็เก็บกระเป๋าและเตรียมลงจากรถ","When the train arrived at the station, we packed our bags and prepared to get off"
"เขาเป็นคนที่มีน้ำใจและมักจะช่วยเหลือผู้อื่นเสมอเมื่อมีโอกาส","He is a kind person and always helps others whenever he has the chance"
"ถ้าเราเริ่มต้นตั้งแต่ตอนนี้ เราจะมีเวลามากพอที่จะทำงานเสร็จ","If we start now, we will have enough time to finish the work"
"เธอชอบทำอาหารและมักจะทดลองสูตรใหม่ๆ ในครัวของเธอ","She likes cooking and often experiments with new recipes in her kitchen"
