"เมื่อเช้าพี่ลองอ่านทรานสคริปต์แล้วรู้สึกเฟ้อเล็กน้อย เพราะเนื้อหาเยอะมาก","This morning I tried reading the transcript and felt slightly overwhelmed because there's so much content"
"พวกเขาเบรกกะทันหันตรงหน้าแท็งก์น้ำ เพื่อเลี่ยงอุบัติเหตุบนถนนบราซิล","They abruptly braked in front of the water tank to avoid an accident on the road in Brazil"
"เธอฟรีค่าเดินทาง เพราะสมัครแฟรนไชส์ใหม่ ได้ส่วนลดสะแล็งพิเศษแน่ะ","She travels for free because she registered a new franchise, getting a special slang-themed discount"
"น้องลองทานปอเปี๊ยะแบบเปรี๊ยะๆ แล้วก็ยังรู้สึกหลอมใจดี เมื่อได้กินของร้อนๆ","They tried fresh spring rolls and still felt comforted when eating something hot"
"ถ้าเหนื่อยมากเกินไป ลองโบ๊ออกไปนั่งพักใต้ต้นไม้ แล้วค่อยกลับมาทำงานต่อสิ","If you're overly tired, try stepping out to relax under a tree, then come back to work later"
"บางทีฟลุคชอบเปิดแฟลชเวลาดึก แถมฟลายไปหาเพื่อนตอนฝนตกอีกนะ","Sometimes Fluke turns on the flash late at night, plus they fly over to see friends even when it's raining"
"เมื่อเขาลองฟร็องซ์น้ำหอมใหม่ กลับได้กลิ่นบร็องซ์เหมือนช็อกโกแลตนิดๆ","When they tested the new Fronce perfume, they instead caught a slightly chocolatey Bronx scent"
"โปรดระวังอย่าดร็อปโฟลเดอร์ผิด เพราะไดรฟ์อาจเริ่ดได้ยากในภายหลัง","Be careful not to drop the wrong folder, because the drive might be harder to manage afterward"
"บางครั้งผู้จัดการยัวะตอนประชุม เพราะลูกน้องพูดจาเหียะใส่กันเสียๆ หายๆ","Sometimes the manager gets annoyed in meetings because subordinates speak rudely to each other"
"ถ้าเธอจั๊วะใส่ประตูเสียงเพียะเมื่อโง้วร้อนไป อาจมีโอกาสสันเทียะกันได้ง่ายๆ","If you slam the door with a sharp crack when you're too worked up, conflicts might arise more easily"
