"ถึงแม้ว่าเขาจะแก่แล้ว แต่เขาก็ยังแข็งแรงและทำงานได้ดีเหมือนเดิม","Although he is old, he is still strong and works as well as before"
"ร้านอาหารแห่งนี้อยู่ใกล้แม่น้ำเจ้าพระยา และมีอาหารที่อร่อยเป็นที่เลื่องชื่อ","This restaurant is located near the Chao Phraya River and is famous for its delicious food"
"เมื่อวานนี้ฉันเห็นนกเขาบินเหวี่ยงไปมาในสวน ก่อนที่จะเกาะที่กิ่งไม้","Yesterday I saw a dove swinging back and forth in the garden before perching on a branch"
"แม่ได้แต่นั่งมองลูกๆ ที่กำลังวิ่งเล่นอยู่ในสนามหญ้าด้วยความเอ็นดู","The mother sat watching her children playing in the lawn with affection"
"เด็กๆ ชอบเล่นแถวๆ แม่น้ำในช่วงเย็น แต่ผู้ปกครองต้องคอยดูแลอย่างใกล้ชิด","Children like to play around the river in the evening, but parents must watch them closely"
"คุณแม่ของฉันชอบปลูกต้นไม้แถวๆ บ้าน และคอยรดน้ำพรวนดินทุกเช้าเย็น","My mother likes to plant trees around the house and waters and cultivates the soil every morning and evening"
"แดดร้อนจัดในช่วงกลางวัน แต่พอตกเย็นอากาศก็เย็นสบายขึ้น","The sun is very hot during the day, but when evening comes the weather becomes pleasantly cool"
"เธอเป็นคนที่ชอบช่วยเหลือผู้อื่น แม้ว่าตัวเองจะไม่ได้มีฐานะร่ำรวยก็ตาม","She likes to help others even though she is not wealthy herself"
"น้องสาวของฉันชอบเล่นเปียโนในช่วงเย็น และเสียงเพลงที่เธอเล่นช่างไพเราะเสนาะหู","My sister likes to play piano in the evening, and the music she plays is very melodious"
"แม่ค้าที่ตลาดขายผักสดทุกเช้า และมักจะแถมผักให้ลูกค้าประจำเสมอ","The vendor at the market sells fresh vegetables every morning and always gives extra vegetables to regular customers"
"พ่อเคยสอนว่าเราต้องรู้จักแบ่งปันให้ผู้อื่น แม้ว่าเราจะมีไม่มากก็ตาม","Father taught that we must learn to share with others even if we don't have much"
"เด็กๆ ชอบวิ่งเล่นแถวสนามเด็กเล่น และเสียงหัวเราะของพวกเขาทำให้ผู้ใหญ่อมยิ้มตาม","Children like to run around the playground, and their laughter makes adults smile along"
"คุณยายชอบนั่งเล่าเรื่องสมัยก่อนให้หลานๆ ฟัง และทุกคนก็ชอบฟังเรื่องเล่าของท่าน","Grandmother likes to sit and tell stories from the past to her grandchildren, and everyone enjoys listening to her tales"
"แม้ว่าฝนจะตกหนัก แต่พวกเราก็ยังต้องออกไปทำงานตามปกติ","Even though it's raining heavily, we still have to go out to work as usual"
"น้องชายของฉันชอบเล่นแถวๆ สวนสาธารณะ และมักจะกลับบ้านมาพร้อมกับเรื่องราวสนุกๆ เสมอ","My little brother likes to play around the park and always comes home with fun stories"
"ทุกเช้าฉันมักจะเห็นผู้สูงอายุมาออกกำลังกายที่สวนสาธารณะ และพวกเขาดูมีความสุขมาก","Every morning I see elderly people exercising in the park, and they look very happy"
"แม่ค้าขายข้าวแกงที่ตลาดเช้า และอาหารของเธอก็อร่อยจนลูกค้าต่อแถวยาวทุกวัน","The vendor sells rice and curry at the morning market, and her food is so delicious that customers queue up long every day"
"พี่สาวของฉันชอบอ่านหนังสือในสวนหลังบ้าน และบางครั้งก็ชวนฉันไปอ่านด้วยกัน","My older sister likes to read books in the backyard garden, and sometimes invites me to read together"
"คุณครูสอนว่าเราต้องรู้จักแบ่งปันและช่วยเหลือเพื่อนๆ ในห้องเรียน","The teacher teaches that we must learn to share and help our friends in the classroom"
"แม้ว่าอากาศจะร้อน แต่เด็กๆ ก็ยังชอบวิ่งเล่นในสนามกีฬาช่วงพักกลางวัน","Even though it's hot, children still like to run and play in the sports field during lunch break"
"คุณตาชอบนั่งดูข่าวในช่วงเย็น และมักจะเล่าเรื่องราวต่างๆ ให้ลูกหลานฟัง","Grandfather likes to watch news in the evening and often tells stories to his children and grandchildren"
"เพื่อนบ้านของเราชอบปลูกดอกไม้หน้าบ้าน และบางครั้งก็แบ่งปันดอกไม้ให้เราด้วย","Our neighbors like to grow flowers in front of their house and sometimes share flowers with us"
"แม่มักจะสอนให้เราประหยัดน้ำประหยัดไฟ และใช้ทรัพยากรอย่างคุ้มค่า","Mother often teaches us to save water and electricity and use resources wisely"
"พี่ชายของฉันชอบเล่นดนตรีในห้องนอน และเสียงเพลงของเขาทำให้บ้านมีชีวิตชีวา","My older brother likes to play music in his bedroom, and his music makes the house lively"
"คุณป้าที่ขายขนมไทยมักจะยิ้มแย้มแจ่มใส และชอบแถมขนมให้เด็กๆ เสมอ","The aunt who sells Thai desserts always smiles brightly and likes to give extra desserts to children"
"เด็กๆ ในละแวกบ้านชอบมารวมตัวกันเล่นที่สนามเด็กเล่นทุกเย็น","Children in the neighborhood like to gather and play at the playground every evening"
"คุณแม่ชอบทำอาหารให้ครอบครัวทุกมื้อ และอาหารของท่านก็อร่อยทุกจาน","Mother likes to cook for the family every meal, and all her dishes are delicious"
"พ่อมักจะพาเราไปเที่ยวชายทะเลในวันหยุด และสอนให้เรารู้จักระมัดระวังเรื่องความปลอดภัย","Father often takes us to the beach on holidays and teaches us to be careful about safety"
"น้องสาวชอบวาดรูปในสมุดวาดเขียน และภาพที่เธอวาดก็สวยงามมาก","My little sister likes to draw in her sketchbook, and her drawings are very beautiful"
"คุณครูศิลปะสอนให้เราใช้สีอย่างสร้างสรรค์ และชมเชยผลงานของนักเรียนทุกคน","The art teacher teaches us to use colors creatively and praises every student's work"
"แม่ค้าที่ร้านผลไม้มักจะคัดผลไม้อย่างดี และขายในราคาที่เป็นธรรม","The fruit vendor carefully selects fruits and sells them at fair prices"
"คุณตาชอบเลี้ยงปลาในบ่อหลังบ้าน และทุกเช้าจะให้อาหารปลาอย่างตรงเวลา","Grandfather likes to raise fish in the pond behind the house and feeds them punctually every morning"
"เพื่อนบ้านของเราชอบทำสวนผักสวนครัว และมักจะแบ่งปันผักสดๆ ให้เราเสมอ","Our neighbors like to grow a vegetable garden and always share fresh vegetables with us"
"พี่สาวมักจะช่วยแม่ทำความสะอาดบ้านในวันหยุด และสอนให้น้องๆ ช่วยด้วย","My older sister often helps mother clean the house on holidays and teaches the younger siblings to help too"
"คุณลุงที่ร้านซ่อมจักรยานใจดีมาก และชอบสอนเด็กๆ เรื่องการดูแลจักรยาน","The uncle at the bicycle repair shop is very kind and likes to teach children about bicycle maintenance"
"แม่ค้าขายผลไม้ที่ตลาดเช้ามักจะมีลูกค้าประจำมาก เพราะผลไม้สดและราคาไม่แพง","The fruit vendor at the morning market has many regular customers because her fruits are fresh and not expensive"
"คุณยายชอบทำขนมไทยโบราณ และสอนหลานๆ ทำตามสูตรดั้งเดิม","Grandmother likes to make traditional Thai desserts and teaches her grandchildren the original recipes"
"พ่อมักจะพาเราไปเดินเล่นในสวนสาธารณะตอนเย็น และเล่าเรื่องราวสนุกๆ ให้ฟัง","Father often takes us for walks in the park in the evening and tells us fun stories"
"เพื่อนบ้านของเราชอบจัดงานเลี้ยงในวันหยุด และเชิญทุกคนในละแวกบ้านมาร่วมงาน","Our neighbors like to host parties on holidays and invite everyone in the neighborhood"
"คุณครูประจำชั้นใจดีมาก และมักจะให้กำลังใจนักเรียนที่พยายามตั้งใจเรียน","The class teacher is very kind and often encourages students who try hard to study"
"แม่ค้าที่ร้านขายของชำมักจะจดจำลูกค้าประจำได้ และชอบพูดคุยอย่างเป็นกันเอง","The shopkeeper at the grocery store usually remembers regular customers and likes to chat casually"
"พี่ชายชอบเล่นกีฬาในตอนเย็น และชวนน้องๆ ไปเล่นด้วยกันเสมอ","My older brother likes to play sports in the evening and always invites younger siblings to play together"
"คุณป้าที่ขายก๋วยเตี๋ยวมักจะใส่ผักเยอะๆ และปรุงรสชาติได้อร่อยมาก","The aunt who sells noodles usually adds lots of vegetables and seasons them very deliciously"
"เด็กๆ ในหมู่บ้านชอบมาเล่นที่สนามหญ้าหน้าบ้านเรา และเสียงหัวเราะของพวกเขาทำให้บรรยากาศสดชื่น","Children in the village like to play on the lawn in front of our house, and their laughter makes the atmosphere refreshing"
"คุณแม่ชอบปลูกต้นไม้ริมรั้ว และคอยดูแลรดน้ำพรวนดินอย่างสม่ำเสมอ","Mother likes to plant trees along the fence and regularly waters and cultivates the soil"
"พ่อมักจะสอนให้เรารู้จักประหยัด และเก็บออมเงินไว้ใช้ยามจำเป็น","Father often teaches us to be economical and save money for necessary times"
"น้องสาวชอบช่วยแม่ล้างจานหลังอาหารเย็น และมักจะร้องเพลงไปด้วยอย่างมีความสุข","Little sister likes to help mother wash dishes after dinner and often sings happily while doing it"
"คุณครูวิทยาศาสตร์สอนให้เรารู้จักสังเกตธรรมชาติ และทำการทดลองอย่างระมัดระวัง","The science teacher teaches us to observe nature and conduct experiments carefully"
"แม่ค้าที่ขายผลไม้มักจะคัดเลือกผลไม้อย่างดี แต่ขายในราคาที่เป็นธรรม","The fruit vendor carefully selects fruits but sells them at fair prices"
