thai sentence,english sentence,thai phoneme,english phoneme
วันนี้อากาศดีมาก ฉันคิดว่าเราควรออกไปเดินเล่นที่สวนสาธารณะด้วยกันไหม,The weather is very nice today; do you think we should go for a walk in the park together?,w a n n iː4 _ ʔ aː k aː2 t _ d iː _ m aː3 k _ cʰ a5 n _ kʰ i4 t _ w aː3 _ r a w _ kʰ uːa n _ ʔ ᴐː2 k _ p a j _ d ɤː n l eː3 n _ tʰ iː3 _ s uːa5 n s aː5 tʰ aː r a4 n a4 _ d uːa3 j k a n _ m a5 j,ð ə _ w ɛ ð ɚ ɹ _ ɪ z _ v ɛ ɹ i _ n aɪ s _ t ə d eɪ ; _ d uː _ j uː _ θ ɪ ŋ k _ w iː _ ʃ ʊ d _ ɡ oʊ _ f ɚ ɹ ə _ w ɔː k _ ɪ n ð ə _ p ɑːɹ k _ t ə ɡ ɛ ð ɚ ?
แม้ว่าฝนจะตกหนัก แต่ฉันก็ยังต้องไปทำงานเพราะมีการประชุมสำคัญที่ต้องเข้าร่วม,"Even though it's raining heavily, I still have to go to work because there's an important meeting I need to attend.",m ɛː4 w aː3 _ f o5 n _ c a2 _ t o2 k n a2 k _ t ɛː2 _ cʰ a5 n _ k ᴐː3 _ j a ŋ _ t ᴐː3 ŋ _ p a j _ tʰ a m ŋ aː n _ pʰr ᴐ4 _ m iː _ k aː n _ pr a2 cʰ u m _ s a5 m kʰ a n _ tʰ iː3 _ t ᴐː3 ŋ _ kʰ a3 w _ r uːa3 m,"iː v ə n _ ð oʊ _ ɪ t s _ ɹ eɪ n ɪ ŋ _ h ɛ v i l i , _ aɪ _ s t ɪ l _ h æ v _ t ə _ ɡ oʊ _ t ə _ w ɜː k _ b ɪ k ʌ z _ ð ɛɹ z _ ɐ n _ ɪ m p oːɹ t ə n t _ m iː ɾ ɪ ŋ _ aɪ _ n iː d _ t ʊ _ ɐ t ɛ n d ."
เมื่อวานฉันได้พบกับเพื่อนเก่าที่ไม่ได้เจอกันมานาน เราเลยนั่งคุยกันจนดึกดื่น,"Yesterday I met an old friend whom I haven't seen in a long time, so we ended up chatting until late at night.",m ɯːa3 w aː n _ cʰ a5 n _ d aː3 j _ pʰ o4 p _ k a2 p _ pʰ ɯːa3 n _ k a2 w _ tʰ iː3 _ m a3 j d aː3 j _ c ɤː _ k a n _ m aː _ n aː n _ r a w _ l ɤː j _ n a3 ŋ _ kʰ u j k a n _ c o n _ d ɯ2 k d ɯː2 n,"j ɛ s t ɚ d eɪ _ aɪ _ m ɛ t _ ɐ n _ oʊ l d _ f ɹ ɛ n d _ h uː m _ aɪ _ h æ v ə n t _ s iː n _ ɪ n _ ɐ _ l ɑː ŋ _ t aɪ m , _ s oʊ _ w iː _ ɛ n d ᵻ d _ ʌ p _ tʃ æ ɾ ɪ ŋ _ ʌ n t ɪ l _ l eɪ t _ æ t _ n aɪ t ."
ถ้าคุณมีเวลาว่างสุดสัปดาห์นี้ เราไปเที่ยวภูเขาหรือทะเลกันดีไหม,"If you have free time this weekend, should we go to the mountains or the sea?",tʰ aː3 _ kʰ u n _ m iː _ w eː l aː w aː3 ŋ _ s u2 t s a2 p d aː _ n iː4 _ r a w _ p a j _ tʰ iːa3 w _ pʰ uː kʰ a5 w _ r ɯː5 _ tʰ a4 l eː _ k a n _ d iː _ m a5 j,"ɪ f _ j uː _ h æ v _ f ɹ iː _ t aɪ m _ ð ɪ s _ w iː k ɛ n d , _ ʃ ʊ d _ w iː _ ɡ oʊ _ t ə _ ð ə _ m aʊ n t ɪ n z _ ɔːɹ _ ð ə _ s iː ?"
ก่อนที่จะตัดสินใจซื้อบ้านหลังนี้ เราควรพิจารณาเรื่องงบประมาณและทำเลที่ตั้งให้ดี,"Before deciding to buy this house, we should carefully consider the budget and location.",k ᴐː2 n _ tʰ iː3 _ c a2 _ t a2 t s i5 n c a j _ s ɯː4 _ b aː3 n _ l a5 ŋ _ n iː4 _ r a w _ kʰ uːa n _ pʰ i4 c aː r a4 n aː _ r ɯːa3 ŋ _ ŋ o4 p pr a2 m aː n _ l ɛ4 _ tʰ a m l eː _ tʰ iː3 t a3 ŋ _ h a3 j _ d iː,"b ɪ f oːɹ _ d ᵻ s aɪ d ɪ ŋ _ t ə _ b aɪ _ ð ɪ s _ h aʊ s , _ w iː _ ʃ ʊ d _ k ɛɹ f ə l i _ k ə n s ɪ d ɚ _ ð ə _ b ʌ dʒ ɪ t _ æ n d _ l oʊ k eɪ ʃ ə n ."
เธอช่วยอธิบายวิธีการใช้โปรแกรมนี้ให้ฉันฟังอีกครั้งได้ไหม ฉันยังไม่ค่อยเข้าใจ,Could you please explain how to use this program to me once more? I still don't quite understand.,tʰ ɤː _ cʰ uːa3 j _ ʔ a2 tʰ i4 b aː j _ w i4 tʰ iː k aː n _ cʰ a4 j _ pr oː kr ɛː m _ n iː4 _ h a3 j _ cʰ a5 n _ f a ŋ _ ʔ iː2 k _ kʰr a4 ŋ _ d aː3 j _ m a5 j _ cʰ a5 n _ j a ŋ _ m a3 j kʰ ᴐː3 j _ kʰ a3 w c a j,k ʊ d _ j uː _ p l iː z _ ɛ k s p l eɪ n _ h aʊ _ t ə _ j uː z _ ð ɪ s _ p ɹ oʊ ɡ ɹ æ m _ t ə _ m iː _ w ʌ n s _ m oːɹ ? _ aɪ _ s t ɪ l _ d oʊ n t _ k w aɪ t _ ʌ n d ɚ s t æ n d .
ทั้งที่เขาทำงานหนักทุกวัน แต่ก็ยังหาเวลาไปออกกำลังกายและดูแลสุขภาพของตัวเอง,"Even though he works hard every day, he still finds time to exercise and take care of his health.",tʰ a4 ŋ tʰ iː3 _ kʰ a5 w _ tʰ a m ŋ aː n _ n a2 k _ tʰ u4 k _ w a n _ t ɛː2 _ k ᴐː3 _ j a ŋ _ h aː5 _ w eː l aː _ p a j _ ʔ ᴐː2 k k a m l a ŋ k aː j _ l ɛ4 _ d uː l ɛː _ s u2 k kʰ a2 pʰ aː3 p _ kʰ ᴐː5 ŋ _ t uːa ʔ eː ŋ,"iː v ə n _ ð oʊ _ h iː _ w ɜː k s _ h ɑːɹ d _ ɛ v ɹ i _ d eɪ , _ h iː _ s t ɪ l _ f aɪ n d z _ t aɪ m _ t ʊ _ ɛ k s ɚ s aɪ z _ æ n d _ t eɪ k _ k ɛ ɹ _ ʌ v _ h ɪ z _ h ɛ l θ ."
ฉันชอบฟังเพลงขณะขับรถ เพราะมันทำให้ฉันรู้สึกผ่อนคลายและสนุกสนาน,I like listening to music while driving because it makes me feel relaxed and entertained.,cʰ a5 n _ cʰ ᴐː3 p _ f a ŋ _ pʰl eː ŋ _ kʰ a2 n a2 _ kʰ a2 p r o4 t _ pʰr ᴐ4 _ m a n _ tʰ a m h a3 j _ cʰ a5 n _ r uː4 s ɯ2 k _ pʰ ᴐː2 n kʰl aː j _ l ɛ4 _ s a2 n u2 k s a2 n aː5 n,aɪ _ l aɪ k _ l ɪ s ə n ɪ ŋ _ t ə _ m j uː z ɪ k _ w aɪ l _ d ɹ aɪ v ɪ ŋ _ b ɪ k ʌ z _ ɪ t _ m eɪ k s _ m iː _ f iː l _ ɹ ɪ l æ k s t _ æ n d _ ɛ n t ɚ t eɪ n d .
หากเราวางแผนการเดินทางล่วงหน้า เราจะสามารถประหยัดค่าใช้จ่ายและเวลาได้มากขึ้น,"If we plan our trip in advance, we can save a lot more on expenses and time.",h aː2 k _ r a w _ w aː ŋ pʰ ɛː5 n k aː n _ d ɤː n tʰ aː ŋ _ l uːa3 ŋ n aː3 _ r a w _ c a2 _ s aː5 m aː3 t _ pr a2 j a2 t _ kʰ aː3 cʰ a4 j c aː2 j _ l ɛ4 _ w eː l aː _ d aː3 j _ m aː3 k _ kʰ ɯ3 n,"ɪ f _ w iː _ p l æ n _ aʊ ɚ _ t ɹ ɪ p _ ɪ n _ ɐ d v æ n s , _ w iː _ k æ n _ s eɪ v _ ɐ _ l ɑː t _ m oː ɹ _ ɑː n _ ɛ k s p ɛ n s ᵻ z _ æ n d _ t aɪ m ."
หลังจากที่ฝึกฝนมาเป็นเวลาหลายเดือน ในที่สุดเขาก็สามารถเล่นเปียโนเพลงนี้ได้อย่างสมบูรณ์แบบ,"After practicing for many months, he can finally play this piano piece perfectly.",l a5 ŋ c aː2 k _ tʰ iː3 _ f ɯ2 k f o5 n _ m aː _ p e n _ w eː l aː _ l aː5 j _ d ɯːa n _ n a j tʰ iː3 s u2 t _ kʰ a5 w _ k ᴐː3 _ s aː5 m aː3 t _ l eː3 n _ p iːa n oː _ pʰl eː ŋ _ n iː4 _ d aː3 j _ j aː2 ŋ _ s o5 m b uː b ɛː2 p,"æ f t ɚ _ p ɹ æ k t ɪ s ɪ ŋ _ f ɔːɹ _ m ɛ n i _ m ʌ n θ s , _ h iː _ k æ n _ f aɪ n əl i _ p l eɪ _ ð ɪ s _ p ɪ æ n oʊ _ p iː s _ p ɜː f ɛ k t l i ."
